id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100708502,Hendrik Soemodihardjo,male,1933-01-14,11,2000-09-30,11,,
Q1337396,Robert Ameerali,male,1961-08-16,11,,,Robert Ameerali.jpg,Robert Ameerali
Q1444020,Pretaap Radhakishun,male,1934-09-03,11,2001-01-06,11,,Pretaap Radhakishun
Q16201341,Hugo Jabini,male,1964-08-08,11,,,,Hugo Jabini
Q1871549,Albert Ramdin,male,1958-02-27,11,,,"Albert Ramdin, 2014.jpg",Albert Ramdin
Q1949087,Jules Ajodhia,male,1945-01-27,11,,,Jules Ajodhia.jpg,Jules Ajodhia
Q1968705,Ronnie Brunswijk,male,1961-03-07,11,,,Brunswijk waarnemend.png,Ronnie Brunswijk
Q20670527,Ashwin Adhin,male,1980-06-10,11,,,Ashwin Satyandre Adhin2 (cropped).jpg,Ashwin Adhin
Q22003256,Niermala Badrising,female,1962-07-04,11,,,Niermala Badrising (cropped version).jpg,Niermala Badrising
Q28859452,Yildiz Pollack-Beighle,female,1983-04-21,11,,,Yldiz Pollack-Beighle.jpg,Yldiz Pollack-Beighle
Q299020,Ronald Venetiaan,male,1936-06-18,11,,,Ronald Venetiaan.jpg,Ronald Venetiaan
Q333135,Chan Santokhi,male,1959-02-03,11,,,"Chan Santokhi, Sep 2020 (cropped).jpg",Chan Santokhi
Q3486213,Winston Lackin,male,1954-12-23,11,2019-11-11,11,Winston Lackin (cropped).jpg,Winston Lackin
Q380734,Jules Wijdenbosch,male,1941-05-02,11,,,JulesWijdenbosch2017.jpg,Jules Wijdenbosch
Q57667,Dési Bouterse,male,1945-10-13,11,,,President Bouterse.JPG,Dési Bouterse
Q58149,Lygia Kraag-Keteldijk,female,1941-06-18,11,,,Lygia Kraag-Keteldijk (cropped).jpg,Lygia Kraag-Keteldijk
Q613821,Ram Sardjoe,male,1935-10-10,11,,,Ramdien Sardjoe.jpg,Ram Sardjoe
Q73243050,Krishna Mathoera,female,1963-05-23,11,,,Krishna Mathoera.png,Krishna Mathoera
Q73516024,Dew Sharman,male,1965-02-20,11,,,"Dew Sharman 2017, 1 (cropped).png",Dew Sharman
Q96942215,Soerjani Mingoen-Karijomenawi,female,,,,,Soerjani Mingoen (cropped).jpg,Soerjani Mingoen-Karijomenawi
