position,title
Q878254,President
Q2520544,Vice President
Q86997832,"Minister of Agriculture, Animal Husbandry and Fisheries"
Q86222395,Minister of Army and Police
Q109120664,Minister of Defence
Q100715755,Minister of Economic Affairs
Q113956819,Minister of Education
Q113956951,Minister of Employment and Youth
Q113956952,Minister of Finance
Q18204391,Minister of Foreign Affairs
Q113956931,Minister of Health
Q86997844,Minister of Internal Affairs
Q86222125,Minister of Justice
Q86222193,Minister of Justice and Police
Q113956925,Minister of Land and Forest Management
Q113956926,Minister of Natural Resources
Q113956934,Minister of Public Works
Q113956947,Minister of Social Affairs and Housing
Q113956939,Minister of Spatial Planning and the Environment
Q113964349,"Minister of Trade, Industry and Tourism"
Q113956942,"Minister of Transport, Communications and Tourism"
Q113956843,Chairman of the National Assembly
